Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,35.97576385579863,36.35889233136624,34.32831141085791,35.72673034667969,53228400,0.0,0.0
2000-01-04 00:00:00-05:00,34.80721322757158,35.899129107577956,34.4049284296745,34.519866943359375,54119000,0.0,0.0
2000-01-05 00:00:00-05:00,34.06012381857925,35.669263526543624,33.52374391592446,34.88385009765625,64059600,0.0,0.0
2000-01-06 00:00:00-05:00,34.38576847856695,34.90299173701893,33.217227042805064,33.715293884277344,54976600,0.0,0.0
2000-01-07 00:00:00-05:00,33.29384521895155,34.40491715376122,32.89156055289978,34.1558837890625,62013600,0.0,0.0
2000-01-10 00:00:00-05:00,34.76889438246831,34.84552004501921,34.136732666423434,34.40492248535156,44963600,0.0,0.0
2000-01-11 00:00:00-05:00,34.17506110491071,35.017943777901785,33.313022007533476,33.52374267578125,46743600,0.0,0.0
2000-01-12 00:00:00-05:00,33.25554990909259,33.37048844564475,32.010382429777486,32.43182373046875,66532400,0.0,0.0
2000-01-13 00:00:00-05:00,31.99120118514351,33.29383692202361,31.110006421959916,33.044803619384766,83144000,0.0,0.0
2000-01-14 00:00:00-05:00,32.85325281869596,34.9221457075701,32.41265525902831,34.40492248535156,73416400,0.0,0.0
2000-01-18 00:00:00-05:00,34.27082671912382,35.7075578560351,34.251670303965,35.34358596801758,81483600,0.0,0.0
2000-01-19 00:00:00-05:00,33.86854722566694,34.175049915491975,32.48928512145425,32.7957878112793,97568200,0.0,0.0
2000-01-20 00:00:00-05:00,32.814951323113355,33.61952105783067,32.45097930026504,32.48929214477539,56349800,0.0,0.0
2000-01-21 00:00:00-05:00,32.795797582419524,32.87242327770555,31.646412153129116,31.799663543701172,68416200,0.0,0.0
2000-01-24 00:00:00-05:00,31.81403149763743,32.39351332982381,30.899312241872153,31.03340721130371,63597600,0.0,0.0
2000-01-25 00:00:00-05:00,30.956777610894758,31.837973013185078,30.516179909749596,31.512313842773438,59823200,0.0,0.0
2000-01-26 00:00:00-05:00,31.397374355867974,31.72303351636203,30.382084031974745,30.458709716796875,49365000,0.0,0.0
2000-01-27 00:00:00-05:00,30.616738263564773,31.01423384871664,29.807379782954346,30.267133712768555,63654800,0.0,0.0
2000-01-28 00:00:00-05:00,30.07557304760882,30.726891190041115,29.807383224254348,30.1138858795166,58225400,0.0,0.0
2000-01-31 00:00:00-05:00,29.92231577292256,30.094723482241577,29.079433638474036,29.99894142150879,73194200,0.0,0.0
2000-02-01 00:00:00-05:00,30.190518979673033,31.64640695077402,29.941485510932075,31.55062484741211,70196600,0.0,0.0
2000-02-02 00:00:00-05:00,31.39736644747238,31.857120440601932,30.80351753968004,30.89929962158203,49915600,0.0,0.0
2000-02-03 00:00:00-05:00,31.282432522790998,31.933750774949534,30.688583528175858,31.761343002319336,49186000,0.0,0.0
2000-02-04 00:00:00-05:00,31.991222661261684,33.10229506506598,31.91938608342951,32.66169738769531,55365400,0.0,0.0
2000-02-07 00:00:00-05:00,32.738316418557204,32.757472835420025,31.95290332718164,32.68084716796875,40005800,0.0,0.0
2000-02-08 00:00:00-05:00,32.62338084860103,33.715296707890666,32.62338084860103,33.69614028930664,56229000,0.0,0.0
